FID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID
1,MAYP,MAYERLING DRIVE NEIGHBORHOOD PARK,8420 LAWYERS RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28227,NEIGHBORHOOD PARK,UNDEVELOPED,SOUTH,5.556, ,0,0, ,District 6,2003-07-11T00:00:00.000Z,BLACKSR, ,1491199.03239,527559.946559, 
2,MCCP,MCALPINE CREEK REGIONAL PARK,8711  MONROE RD,8711, ,MONROE,RD, ,CHARLOTTE,NC,28212,REGIONAL PARK,DEVELOPED,SOUTH,114.01,7045684044,0,0,District 6,District 5,2008-05-14T00:00:00.000Z,BLACKSR, ,1478221.48914,514435.247884, 
3,MCDL,MCDOWELL NATURE PRESERVE,15222 YORK RD,15222, ,YORK,RD, ,CHARLOTTE,NC,28278,NATURE PRESERVE,DEVELOPED,SOUTH,1103.4,7045885224,0,0, ,District 1,1998-07-28T00:00:00.000Z,BLACKSR, ,1394658.32463,495409.114332, 
4,MCIN,MCINTYRE HISTORIC SITE,5801 MCINTYRE AV,5801, ,MCINTYRE,AV, ,CHARLOTTE,NC,28216,SPECIAL FACILITY,DEVELOPED,NORTH,1.746,7043368096,0,0,District 2,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1444071.11573,573787.060336, 
5,MCKE,MCKEE ROAD COMMUNITY PARK,4201 MCKEE RD,4201, ,MCKEE,RD, ,CHARLOTTE,NC,28270,COMMUNITY PARK,DEVELOPED,SOUTH,20.574,7046433405,0,0,District 7,District 6,1998-10-07T00:00:00.000Z,BLACKSR, ,1474330.29341,484449.018425, 
6,MDLC,MARION DIEHL CENTER,2219 TYVOLA RD,2219, ,TYVOLA,RD, ,CHARLOTTE,NC,28210,RECREATION CENTER,DEVELOPED,SOUTH,0,7045270237,0,0,District 6,District 2,1998-07-28T00:00:00.000Z,BLACKSR, ,1444043.06183,518357.408846, 
7,MDLP,MARION DIEHL COMMUNITY PARK,2219 TYVOLA RD,2219, ,TYVOLA,RD, ,CHARLOTTE,NC,28210,COMMUNITY PARK,DEVELOPED,SOUTH,78.715,7046433405,0,0,District 6,District 2,1998-07-28T00:00:00.000Z,BLACKSR, ,1444856.92135,517939.475118, 
8,MEMS,MEMORIAL STADIUM COMPLEX,310 N KINGS DR,310,N,KINGS,DR, ,CHARLOTTE,NC,28204,SPECIAL FACILITY,DEVELOPED,CENTRAL,12.258,7043362884,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1454012.64528,539681.337621, 
9,MIDW,MIDWOOD NEIGHBORHOOD PARK,2100 WILHELMINA AV,2100, ,WILHELMINA,AV, ,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,6.203,7043363367,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1461718.34184,543588.466081, 
10,MLCP,MALLARD CREEK REGIONAL PARK,3001 JOHNSTON OEHLER RD,3001, ,JOHNSTON OEHLER,RD, ,CHARLOTTE,NC,28269,REGIONAL PARK,DEVELOPED,NORTH,310.049,7043368866,0,0,District 4,District 1,1998-07-28T00:00:00.000Z,BLACKSR, ,1475136.04707,591434.348892, 
11,MLDC,MALLARD CREEK CENTER,2530 JOHNSTON OEHLER RD,2530, ,JOHNSTON OEHLER,RD, ,CHARLOTTE,NC,28269,RECREATION CENTER,DEVELOPED,NORTH,0,7045488234,0,0,District 4,District 1,1998-08-12T00:00:00.000Z,BLACKSR, ,1476076.81419,589588.463632, 
12,MLKP,MARTIN LUTHER KING COMMUNITY PARK,2600 RAVENCROFT DR,2600, ,RAVENCROFT,DR, ,CHARLOTTE,NC,28208,COMMUNITY PARK,DEVELOPED,CENTRAL,29.131,7043531165,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR, ,1441263.52551,549621.523399, 
13,MORG,CHERRY NEIGHBORHOOD PARK,1509 BAXTER ST,1506, ,BAXTER,ST, ,CHARLOTTE,NC,28204,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,1.891,7043362884,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1452587.83867,536529.079092, 
14,MSNW,MASON WALLACE COMMUNITY PARK,7301 MONROE RD,7301, ,MONROE,RD, ,CHARLOTTE,NC,28212,COMMUNITY PARK,DEVELOPED,SOUTH,30.397,7045684044,0,0,District 5,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1475386.78284,520579.818773, 
15,MTHC,METHODIST HOME CENTER,3200 SHAMROCK DR,3200, ,SHAMROCK,DR, ,CHARLOTTE,NC,28205,RECREATION CENTER,DEVELOPED,SOUTH,0,7045683363,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1470566.65453,545365.622602, 
16,MTHP,METHODIST HOME NEIGHBORHOOD PARK,3200 SHAMROCK DR,3200, ,SHAMROCK,DR, ,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,SOUTH,10.453,7045684044,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1470197.22497,544821.238548, 
17,NAOM,NAOMI DRENAN CENTER,750 BEAL ST,750, ,BEAL,ST, ,CHARLOTTE,NC,28211,RECREATION CENTER,DEVELOPED,SOUTH,0,7043651265,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1463337.0942,529089.292754, 
18,NATM,FREEDOM PARK NATURE MUSEUM,1658 STERLING RD,1658, ,STERLING,RD, ,CHARLOTTE,NC,28209,SPECIAL FACILITY,DEVELOPED,CENTRAL,0,7043726261,0,0,District 1,District 5,1998-07-28T00:00:00.000Z,BLACKSR, ,1449490.06345,528492.20969,DISC
19,NCPK,NORTH CHARLOTTE NEIGHBORHOOD PARK,901 HERRIN AV,901, ,HERRIN,AV, ,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,3.056,7043363367,0,0,District 1,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1463246.2934,549329.760448, 
20,NEVN,NEVIN REGIONAL PARK,6000 STATESVILLE RD,6000, ,STATESVILLE,RD, ,CHARLOTTE,NC,28269,REGIONAL PARK,DEVELOPED,NORTH,196.981,7043368866,0,0,District 2,District 3,2000-12-11T00:00:00.000Z,BLACKSR, ,1451062.72582,569907.180943, 
